тип;название;Модель;Топливо;Давление, атм;Паропроизводительность, кг/ч;КПД;мощность, кВт;Производство пара, кг/ч
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-12000;газ;;;;;
Генерация пара;Блочно-модульные котельные установки;ПГ-У-УИ-500;газ;;;;;
Генерация пара;Блочно-модульные котельные установки;ПГ-У-УИ-600;газ;;;;;
Генерация пара;Блочно-модульные котельные установки;ПГ-У-УИ-700;газ;;;;;
Генерация пара;Блочно-модульные котельные установки;ПГ-У-УИ-800;газ;;;;;
Генерация пара;Блочно-модульные котельные установки;ПГ-У-УИ-900;газ;;;;;
Генерация пара;Блочно-модульные котельные установки;ПГ-У-УИ-1000;газ;;;;;
Генерация пара;Блочно-модульные котельные установки;ПГ-У-УИ-1200;газ;;;;;
Генерация пара;Блочно-модульные котельные установки;ПГ-У-УИ-1600;газ;;;;;
Генерация пара;Блочно-модульные котельные установки;ПГ-У-УИ-2000;газ;;;;;
Генерация пара;Блочно-модульные котельные установки;ПГ-У-УИ-2500;газ;;;;;
Генерация пара;Блочно-модульные котельные установки;ПГ-У-УИ-3000;газ;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-100;дизель;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-150;дизель;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-200;дизель;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-250;дизель;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-300;дизель;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-400;дизель;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-500;дизель;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-600;дизель;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-700;дизель;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-800;дизель;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-900;дизель;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-1000;дизель;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-1200;дизель;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-1600;дизель;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-2000;дизель;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-2500;дизель;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-3000;дизель;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-1000;дизель;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-1200;дизель;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-1600;дизель;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-2000;дизель;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-2500;дизель;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-3000;дизель;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-3500;дизель;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-4000;дизель;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-5000;дизель;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-6000;дизель;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-7000;дизель;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-8000;дизель;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-9000;дизель;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-10000;дизель;;;;;
Генерация пара;Парогенератор мобильный;КПО-ПГ-М-30;дизель;;;;;
Генерация пара;Парогенератор мобильный;КПО-ПГ-М-50;дизель;;;;;
Генерация пара;Парогенератор мобильный;КПО-ПГ-М-70;дизель;;;;;
Генерация пара;Парогенератор мобильный;КПО-ПГ-М-100;дизель;;;;;
Генерация пара;Парогенератор мобильный;КПО-ПГ-М-150;дизель;;;;;
Генерация пара;Парогенератор мобильный;КПО-ПГ-М-250;дизель;;;;;
Генерация пара;Парогенератор мобильный;КПО-ПГ-М-300;дизель;;;;;
Генерация пара;Парогенератор мобильный;КПО-ПГ-М-500;дизель;;;;;
Генерация пара;Парогенератор мобильный;КПО-ПГ-М-1000;дизель;;;;;
Генерация пара;Парогенератор мобильный;КПО-ПГ-М-1500;дизель;;;;;
Генерация пара;Парогенератор мобильный;КПО-ПГ-М-2000;дизель;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-150;дизель;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-200;дизель;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-250;дизель;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-300;дизель;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-400;дизель;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-500;дизель;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-600;дизель;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-700;дизель;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-800;дизель;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-900;дизель;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-1000;дизель;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-1200;дизель;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-1600;дизель;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-2000;дизель;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-2500;дизель;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-3000;дизель;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-3500;дизель;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-4000;дизель;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-5000;дизель;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-6000;дизель;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-7000;дизель;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-8000;дизель;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-9000;дизель;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-10000;дизель;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-11000;дизель;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-12000;дизель;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-150;дизель;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-200;дизель;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-250;дизель;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-300;дизель;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-400;дизель;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-500;дизель;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-600;дизель;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-700;дизель;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-800;дизель;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-900;дизель;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-1000;дизель;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-1200;дизель;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-1600;дизель;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-2000;дизель;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-2500;дизель;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-3000;дизель;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-3500;дизель;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-4000;дизель;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-5000;дизель;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-6000;дизель;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-7000;дизель;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-8000;дизель;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-9000;дизель;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-10000;дизель;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-11000;дизель;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-12000;дизель;;;;;
Генерация пара;Блочно-модульные котельные установки;ПГ-У-УИ-500;дизель;;;;;
Генерация пара;Блочно-модульные котельные установки;ПГ-У-УИ-600;дизель;;;;;
Генерация пара;Блочно-модульные котельные установки;ПГ-У-УИ-700;дизель;;;;;
Генерация пара;Блочно-модульные котельные установки;ПГ-У-УИ-800;дизель;;;;;
Генерация пара;Блочно-модульные котельные установки;ПГ-У-УИ-900;дизель;;;;;
Генерация пара;Блочно-модульные котельные установки;ПГ-У-УИ-1000;дизель;;;;;
Генерация пара;Блочно-модульные котельные установки;ПГ-У-УИ-1200;дизель;;;;;
Генерация пара;Блочно-модульные котельные установки;ПГ-У-УИ-1600;дизель;;;;;
Генерация пара;Блочно-модульные котельные установки;ПГ-У-УИ-2000;дизель;;;;;
Генерация пара;Блочно-модульные котельные установки;ПГ-У-УИ-2500;дизель;;;;;
Генерация пара;Блочно-модульные котельные установки;ПГ-У-УИ-3000;дизель;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-100;мазут;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-150;мазут;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-200;мазут;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-250;мазут;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-300;мазут;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-400;мазут;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-500;мазут;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-600;мазут;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-700;мазут;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-800;мазут;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-900;мазут;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-1000;мазут;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-1200;мазут;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-1600;мазут;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-2000;мазут;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-2500;мазут;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-3000;мазут;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-1000;мазут;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-1200;мазут;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-1600;мазут;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-2000;мазут;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-2500;мазут;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-3000;мазут;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-3500;мазут;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-4000;мазут;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-5000;мазут;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-6000;мазут;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-7000;мазут;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-8000;мазут;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-9000;мазут;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-10000;мазут;;;;;
Генерация пара;Парогенератор мобильный;КПО-ПГ-М-30;мазут;;;;;
Генерация пара;Парогенератор мобильный;КПО-ПГ-М-50;мазут;;;;;
Генерация пара;Парогенератор мобильный;КПО-ПГ-М-70;мазут;;;;;
Генерация пара;Парогенератор мобильный;КПО-ПГ-М-100;мазут;;;;;
Генерация пара;Парогенератор мобильный;КПО-ПГ-М-150;мазут;;;;;
Генерация пара;Парогенератор мобильный;КПО-ПГ-М-250;мазут;;;;;
Генерация пара;Парогенератор мобильный;КПО-ПГ-М-300;мазут;;;;;
Генерация пара;Парогенератор мобильный;КПО-ПГ-М-500;мазут;;;;;
Генерация пара;Парогенератор мобильный;КПО-ПГ-М-1000;мазут;;;;;
Генерация пара;Парогенератор мобильный;КПО-ПГ-М-1500;мазут;;;;;
Генерация пара;Парогенератор мобильный;КПО-ПГ-М-2000;мазут;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-150;мазут;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-200;мазут;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-250;мазут;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-300;мазут;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-400;мазут;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-500;мазут;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-600;мазут;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-700;мазут;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-800;мазут;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-900;мазут;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-1000;мазут;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-1200;мазут;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-1600;мазут;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-2000;мазут;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-2500;мазут;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-3000;мазут;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-3500;мазут;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-4000;мазут;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-5000;мазут;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-6000;мазут;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-7000;мазут;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-8000;мазут;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-9000;мазут;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-10000;мазут;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-11000;мазут;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-12000;мазут;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-150;мазут;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-200;мазут;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-250;мазут;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-300;мазут;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-400;мазут;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-500;мазут;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-600;мазут;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-700;мазут;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-800;мазут;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-900;мазут;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-1000;мазут;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-1200;мазут;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-1600;;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-2000;мазут;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-2500;мазут;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-3000;мазут;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-3500;мазут;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-4000;мазут;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-5000;мазут;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-6000;мазут;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-7000;мазут;;;;;
